X,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,BQ2_quality
4822,7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,"[3,6]"
1135,7.4,0.41,0.34,4.7,0.042,19,127,0.9953,3.25,0.42,10.4,"[3,6]"
4102,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,"[3,6]"
1110,9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,"[3,6]"
518,7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,"[3,6]"
3209,6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,"[3,6]"
4470,6.4,0.23,0.27,2.1,0.042,35,100,0.99094,3.03,0.63,10.9,"[3,6]"
148,6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,"[3,6]"
4244,6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,"[3,6]"
2792,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,"[3,6]"
2590,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,"[3,6]"
4178,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,"[3,6]"
3601,6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,"[3,6]"
3903,6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,"[3,6]"
3901,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,"[3,6]"
1368,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,"[3,6]"
2188,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,"[3,6]"
201,6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,"[3,6]"
762,7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,"[3,6]"
4372,7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,"[3,6]"
1711,8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,"[3,6]"
2155,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,"[3,6]"
1860,8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,"[3,6]"
638,7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,"[3,6]"
3091,6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,"[3,6]"
2540,6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,"[3,6]"
4219,8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,"[3,6]"
250,6.1,0.41,0.14,10.4,0.037,18,119,0.996,3.38,0.45,10,"[3,6]"
234,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,"[3,6]"
4595,5.8,0.42,0.3,2.2,0.035,26,129,0.989,3.32,0.47,12.9,"[3,6]"
3842,6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,"[3,6]"
3193,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,"[3,6]"
2487,6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,"[3,6]"
3548,7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,"[3,6]"
2963,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,"[3,6]"
2437,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,"[3,6]"
3887,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,"[3,6]"
4754,5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,"[3,6]"
4626,8.3,0.49,0.23,6.65,0.034,6,158,0.99344,3.05,0.48,11.2,"[3,6]"
4219,8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,"[3,6]"
3777,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,"[3,6]"
2823,6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,"[3,6]"
1571,6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,"[3,6]"
2181,8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,"[3,6]"
793,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,"[3,6]"
456,6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,"[3,6]"
4723,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,"[3,6]"
3210,6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,"[3,6]"
194,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,"[3,6]"
659,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,"[3,6]"
180,6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,"[3,6]"
1377,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,"[3,6]"
3901,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,"[3,6]"
3126,7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,"[3,6]"
3255,7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,"[3,6]"
4178,6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,"[3,6]"
3128,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,"[3,6]"
4604,5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,"[3,6]"
2720,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,"[3,6]"
4293,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,"[3,6]"
3980,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,"[3,6]"
1756,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,"[3,6]"
1866,7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,"[3,6]"
923,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,"[3,6]"
1490,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,"[3,6]"
4493,6,0.19,0.37,9.7,0.032,17,50,0.9932,3.08,0.66,12,"[3,6]"
858,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,"[3,6]"
3617,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,"[3,6]"
903,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,"[3,6]"
1711,8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,"[3,6]"
1567,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,"[3,6]"
3589,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,"[3,6]"
489,7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,"[3,6]"
1543,7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,"[3,6]"
3198,7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,"[3,6]"
2821,6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,"[3,6]"
1027,6.6,0.14,0.44,1.6,0.042,47,140,0.993,3.32,0.51,10.2,"[3,6]"
1791,9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,"[3,6]"
1516,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,"[3,6]"
988,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,"[3,6]"
4682,5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,"[3,6]"
4640,6.9,0.54,0.26,12.7,0.049,59,195,0.99596,3.26,0.54,10.5,"[3,6]"
3152,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,"[3,6]"
4549,6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,"[3,6]"
3537,7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,"[3,6]"
4733,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,"[3,6]"
4800,6.2,0.26,0.2,8,0.047,35,111,0.99445,3.11,0.42,10.4,"[3,6]"
1585,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,"[3,6]"
373,6.6,0.905,0.19,0.8,0.048,17,204,0.9934,3.34,0.56,10,"[3,6]"
4448,6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,"[3,6]"
4387,6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,"[3,6]"
3713,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,"[3,6]"
2134,8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,"[3,6]"
3737,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,"[3,6]"
1557,7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,"[3,6]"
4708,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,"[3,6]"
2544,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,"[3,6]"
2318,7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,"[3,6]"
2974,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,"[3,6]"
33,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,"[3,6]"
171,7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,"[3,6]"
2232,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,"[3,6]"
2190,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,"[3,6]"
3255,7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,"[3,6]"
2418,7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,"[3,6]"
1545,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,"[3,6]"
2267,9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,"[3,6]"
2761,7.7,0.16,0.36,5.9,0.054,25,148,0.99578,3.25,0.54,10.2,"[3,6]"
2744,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,"[3,6]"
227,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,"[3,6]"
1656,7.8,0.28,0.49,1.3,0.046,27,142,0.9936,3.09,0.59,10.2,"[3,6]"
4371,6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,"[3,6]"
4614,5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,"[3,6]"
1445,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,"[3,6]"
3363,7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,"[3,6]"
4682,5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,"[3,6]"
4703,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,"[3,6]"
3147,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,"[3,6]"
1696,7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,"[3,6]"
649,6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,"[3,6]"
965,5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,"[3,6]"
1910,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,"[3,6]"
2248,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,"[3,6]"
2643,7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,"[3,6]"
2747,7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,"[3,6]"
1580,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,"[3,6]"
950,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,"[3,6]"
2485,6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,"[3,6]"
3754,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,"[3,6]"
4321,6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,"[3,6]"
2027,6.4,0.26,0.4,1.7,0.179,5,60,0.9925,3.09,0.54,10.1,"[3,6]"
4256,6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,"[3,6]"
934,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,"[3,6]"
2963,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,"[3,6]"
4396,6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,"[3,6]"
2260,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,"[3,6]"
4278,7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,"[3,6]"
1310,9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,"[3,6]"
3770,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,"[3,6]"
2435,8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,"[3,6]"
1516,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,"[3,6]"
3457,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,"[3,6]"
4461,6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,"[3,6]"
1765,6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,"[3,6]"
283,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,"[3,6]"
2770,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,"[3,6]"
3932,6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,"[3,6]"
4782,5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,"[3,6]"
2258,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,"[3,6]"
2042,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,"[3,6]"
4441,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,"[3,6]"
2741,6.3,0.2,0.19,12.3,0.048,54,145,0.99668,3.16,0.42,9.3,"[3,6]"
2150,6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,"[3,6]"
781,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,"[3,6]"
4305,6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,"[3,6]"
3052,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,"[3,6]"
2101,6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,"[3,6]"
2234,6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,"[3,6]"
645,6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,"[3,6]"
1667,7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,"[3,6]"
3553,5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,"[3,6]"
3389,8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,"[3,6]"
193,6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,"[3,6]"
4736,6,0.17,0.36,1.7,0.042,14,61,0.99144,3.22,0.54,10.8,"[3,6]"
2713,6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,"[3,6]"
195,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,"[3,6]"
1950,6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,"[3,6]"
2679,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,"[3,6]"
1587,9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,"[3,6]"
1325,6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,"[3,6]"
1676,6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,"[3,6]"
1898,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,"[3,6]"
4708,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,"[3,6]"
2255,6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,"[3,6]"
2679,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,"[3,6]"
823,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,"[3,6]"
3654,6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,"[3,6]"
2542,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,"[3,6]"
358,6.1,0.36,0.33,1.1,0.05,24,169,0.9927,3.15,0.78,9.5,"[3,6]"
4111,7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,"[3,6]"
2430,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,"[3,6]"
2631,5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,"[3,6]"
1030,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,"[3,6]"
781,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,"[3,6]"
3634,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,"[3,6]"
2040,8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,"[3,6]"
4253,6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,"[3,6]"
776,6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,"[3,6]"
1546,7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,"[3,6]"
486,6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,"[3,6]"
3404,8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,"[3,6]"
507,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,"[3,6]"
1961,8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,"[3,6]"
3492,8,0.2,0.44,1,0.057,24,111,0.99158,3.09,0.32,11.2,"[3,6]"
4530,7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,"[3,6]"
4499,6.8,0.2,0.25,6.2,0.052,22,106,0.9935,3.09,0.54,10.8,"[3,6]"
4540,8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,"[3,6]"
3015,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,"[3,6]"
2045,5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,"[3,6]"
1698,6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,"[3,6]"
179,6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,"[3,6]"
2196,6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,"[3,6]"
2537,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,"[3,6]"
4441,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,"[3,6]"
1169,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,"[3,6]"
532,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,"[3,6]"
2045,5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,"[3,6]"
1700,6.3,0.26,0.29,2.2,0.043,35,175,0.9918,3.38,0.43,11.6,"[3,6]"
3150,7.2,0.32,0.4,8.7,0.038,45,154,0.99568,3.2,0.47,10.4,"[3,6]"
4405,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,"[3,6]"
2938,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,"[3,6]"
2877,6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,"[3,6]"
1236,7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,"[3,6]"
2816,6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,"[3,6]"
2747,7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,"[3,6]"
4722,6.1,0.32,0.33,10.7,0.036,27,98,0.99521,3.34,0.52,10.2,"[3,6]"
2663,7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,"[3,6]"
4555,6,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,"[3,6]"
4493,6,0.19,0.37,9.7,0.032,17,50,0.9932,3.08,0.66,12,"[3,6]"
988,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,"[3,6]"
1040,7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,"[3,6]"
2482,6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,"[3,6]"
704,6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,"[3,6]"
4876,7.4,0.22,0.26,1.2,0.035,18,97,0.99245,3.12,0.41,9.7,"[3,6]"
1329,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,"[3,6]"
2177,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,"[3,6]"
2181,8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,"[3,6]"
4322,6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,"[3,6]"
1986,8.1,0.19,0.58,16.65,0.049,48,181,1.0006,3.2,0.62,9.1,"[3,6]"
2869,6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,"[3,6]"
4290,6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,"[3,6]"
1082,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,"[3,6]"
4023,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,"[3,6]"
2459,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,"[3,6]"
3123,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,"[3,6]"
3460,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,"[3,6]"
3068,7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,"[3,6]"
1741,6.6,0.37,0.47,6.5,0.061,23,150,0.9954,3.14,0.45,9.6,"[3,6]"
2026,7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,"[3,6]"
1080,6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,"[3,6]"
157,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,"[3,6]"
1714,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,"[3,6]"
182,7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,"[3,6]"
1453,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,"[3,6]"
548,7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,"[3,6]"
683,5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,"[3,6]"
4305,6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,"[3,6]"
3777,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,"[3,6]"
3337,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,"[3,6]"
4279,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,"[3,6]"
1638,8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,"[3,6]"
1930,8.8,0.34,0.33,9.7,0.036,46,172,0.9966,3.08,0.4,10.2,"[3,6]"
3911,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,"[3,6]"
3187,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,"[3,6]"
1305,8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,"[3,6]"
3178,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,"[3,6]"
3362,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,"[3,6]"
4132,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,"[3,6]"
1567,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,"[3,6]"
1280,6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,"[3,6]"
4431,8.1,0.36,0.59,13.6,0.051,60,134,0.99886,2.96,0.39,8.7,"[3,6]"
781,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,"[3,6]"
3210,6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,"[3,6]"
1547,6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,"[3,6]"
3187,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,"[3,6]"
1805,7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,"[3,6]"
785,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,"[3,6]"
4462,7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,"[3,6]"
2550,7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,"[3,6]"
3617,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,"[3,6]"
2683,7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,"[3,6]"
50,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,"[3,6]"
